player,country,rating_2
raalz,Denmark,0.97
rabbit,Latvia,1.01
RacheLL,France,1.15
Rack,Sweden,0.92
Radifaction,Norway,1.03
rafftu,Bulgaria,1.01
rage,China,0.99
ragga,Romania,1.04
rahley,Australia,0.89
rain,Canada,1.06
rain,Norway,1.02
rainny,Brazil,0.99
Rainwaker,Bulgaria,1.11
RaiS,Kyrgyzstan,0.98
raizo,Algeria,0.87
Rajmex,Hungary,1.01
rallen,Poland,1.05
ram0s,Portugal,0.91
ramziiN,Denmark,1.09
Rand,Germany,1.03
Randyyyy,Mongolia,0.71
rate,Mongolia,1.06
Ratzz,New Zealand,0.74
raven,United States,1.08
RavlE,Iceland,1.02
raW,Portugal,0.69
raw,Latvia,1.07
raw1,United States,0.85
RaY5ive,Lithuania,0.75
raynee,United States,1.05
rayxts,Canada,1.12
Razzmo,France,0.95
rbfurious,Croatia,1.04
rbn,United States,0.85
rdnzao,Brazil,1.1
REAL1ZE,Jordan,1.03
Realyummy,Sweden,1.01
realz1n,Brazil,1.06
realzen,Slovakia,0.97
Reapz,Australia,0.9
s-chilla,Ukraine,1.02
s0ki,Poland,1.25
s0und,Romania,1.06
s1cko,Brazil,0.73
S1kura,China,0.91
s1mple,Ukraine,1.24
s1n,Germany,1.08
s1non,Brazil,1.0
s1renaa,Ukraine,1.26
S1rva,Finland,0.89
S3NSEY,Austria,1.01
s3rum,United States,0.75
s4ltovsk1yy,Ukraine,1.08
sACEr,Poland,0.64
sacrifice,United States,1.09
sad,Belarus,0.95
sad,China,0.96
sadbutrue,Pakistan,0.53
saffee,Brazil,1.16
sakamoto,Brazil,0.9
sakura,Belarus,1.26
salazar,Denmark,1.04
salmon,China,0.94
Salted,Croatia,1.01
sam,United States,1.04
samee,Sweden,1.18
SaMey,Poland,1.08
Samineh,Iran,0.74
Samuukxs,Australia,0.96
Samys,Brazil,0.9
sanc,Brazil,0.92
Sandman,United States,0.97
sanT,Poland,1.01
santos,Brazil,0.94
santt1g,Argentina,0.81
Sapec,Sweden,1.03
sarenii,Serbia,0.97
sark,Portugal,0.96
sasha,United States,0.89
sausol,Spain,1.04
t0kk,Ukraine,0.99
t3ns1on,Ukraine,1.04
t3rry,China,0.92
T4gg3D,Slovakia,0.98
t9mpest,Brazil,0.63
t9rnay,Brazil,1.11
tA1LUNGG,Sweden,1.2
TABEN,Ukraine,0.99
tabseN,Germany,1.04
TACO,Brazil,0.92
tad,Vietnam,1.51
taero,Spain,0.83
taggy,United States,0.97
Taikun,Vietnam,0.8
tAk,Lithuania,1.07
taken,Romania,0.92
takioka,Ukraine,0.74
Talen,United States,0.82
Talent,Vietnam,1.01
talkzyn,Brazil,0.75
tamir,Mongolia,0.85
tamizinha,Brazil,0.76
tanxiaomei,China,0.92
Tapewaare,Norway,0.97
Taqen,Sweden,0.92
Tar1us,China,0.78
Tarkky,France,0.99
tatazin,Brazil,1.05
tatm,United States,0.98
Tatu,Brazil,1.0
Tauson,Denmark,1.03
TaZ,Poland,0.94
tbear,Canada,0.54
tBone,United States,0.78
Tdd,China,1.09
TEARS,China,1.08
Techno,Mongolia,1.04
teCkoO,Slovakia,0.73
Teee,Australia,0.46
TEKO,Brazil,0.96
tele D,Brazil,1.09
teme,Finland,0.97
Templ,Ukraine,1.01
Tender,United States,1.03
TENSKEE,Canada,1.0
Ter3sss,Belarus,0.82
Uber,Canada,0.96
uDEADSHOT,South Africa,0.87
uhKelsie,United States,1.07
ujliana,Brazil,0.98
uli,Finland,0.98
Umar,United States,1.05
Umi,China,0.65
unshaark,France,0.95
upE,Sweden,0.93
uQlutzavr,Ukraine,1.04
urban0,Brazil,1.11
uRuRuRkiN,Uzbekistan,1.08
Uzman,Lithuania,0.94
V0R4yn,Moldova,0.81
V1,Ukraine,0.85
v1ktooor,Czech Republic,0.79
V1per,New Zealand,0.47
v1spel,Ukraine,1.14
v1trage,Latvia,1.33
v1w,Kosovo,1.03
v4NO,Czech Republic,0.83
Vacancy,United Kingdom,0.98
valde,Denmark,1.07
Valiance,Australia,1.09
vAloN,North Macedonia,1.01
valulu,Argentina,0.82
Vanderlande,Mongolia,0.32
vanessa,United States,1.08
vanillaicey,New Zealand,0.79
varK,Saudi Arabia,1.09
ve1nzo,Netherlands,1.02
Veccil,Mongolia,0.88
Vegi,Poland,1.05
vein,United States,0.85
vel0city,India,0.78
venomzera,Brazil,1.12
versa,Australia,1.08
Verttzzz,Czech Republic,0.76
Vexite,Australia,1.15
vhs,Brazil,0.78
vhz,Brazil,1.03
vigg0,Denmark,0.99
Viggo,Denmark,0.97
Vii,Brazil,0.88
Viktha,Norway,1.02
Villeboe,Finland,0.82
vin3,Brazil,1.03
vinaabEAST,Brazil,0.99
vincso,Hungary,0.92
VINI,Brazil,1.04
VireZ,Denmark,0.93
viridian,Australia,0.98
virree,Sweden,0.97
virtuoso,Poland,1.02
vision,Australia,1.0
ViTaL,Lebanon,1.03
viva,Mongolia,0.88
w0mbat,Australia,0.84
w0nderful,Ukraine,1.2
w1,Brazil,1.03
w1dow,Germany,0.87
W1LDG2,United States,1.13
w1nstoN,Thailand,0.98
w1nt3r,Kazakhstan,1.0
w4rden,Czech Republic,0.91
Wadeshot,Latvia,1.27
Wahtzz,Estonia,1.02
wait,Chile,0.87
Walco,Canada,1.01
Waldee,Finland,1.05
walleN,Sweden,1.31
wallz1k,Brazil,0.82
WANGJ,China,1.0
warbringer,Romania,0.9
Warden,Latvia,0.96
wasiNk,France,0.95
WasteOfAmmo,Indonesia,1.0
watts,Brazil,0.96
waZz,Romania,0.82
WD,India,0.62
wEAVER,Kazakhstan,1.01
Weedfly,Pakistan,0.89
Weeza,United States,0.92
Welho,Finland,0.93
welnic,Romania,0.83
Wenba,Norway,1.01
Werzaide,Portugal,0.84
Westmelon,China,1.1
wetfy,Uzbekistan,1.15
wfn,United Kingdom,1.06
Whis,Philippines,1.1
Wicadia,Turkey,1.06
WIL1AM,United Arab Emirates,0.98
Wildeity,Pakistan,1.0
